Year,Unnamed: 0,age,gp,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,fouls,pts,selection
1973,3105.5,26.27102803738318,62.018691588785046,0.0,22.32196261682243,4.008878504672897,8.873831775700927,0.4331682242990654,0.0,0.0,0.0,4.008878504672897,8.873831775700927,0.4331682242990654,0.4331682242990654,1.7761682242990657,2.3579439252336467,0.7260000000000003,0.0,0.0,4.664485981308412,2.3084112149532716,0.0,0.0,0.0,2.20607476635514,9.791588785046727,0.8317757009345794
1974,3323.0,26.34389140271493,60.203619909502265,0.0,21.971493212669678,3.86289592760181,8.50859728506788,0.43540271493212646,0.0,0.0,0.0,3.86289592760181,8.50859728506788,0.43540271493212646,0.43540271493212646,1.772398190045249,2.3262443438914056,0.7102760180995474,1.3375565610859728,3.016742081447964,4.351131221719458,2.236199095022624,0.7904977375565608,0.4099547511312218,0.0,2.221266968325791,9.49547511312217,0.4253393665158371
1975,3551.0,26.314893617021276,61.85531914893617,0.0,22.26468085106383,3.776595744680852,8.341702127659573,0.43768085106382976,0.0,0.0,0.0,3.776595744680852,8.341702127659573,0.43768085106382976,0.43768085106382976,1.7459574468085122,2.299999999999999,0.7186680851063834,1.3144680851063821,3.048085106382978,4.361702127659575,2.168085106382979,0.8025531914893617,0.39234042553191495,0.0,2.3055319148936184,9.304680851063829,0.4
1976,3787.5,26.23949579831933,61.99159663865546,0.0,21.442436974789903,3.6579831932773086,8.046218487394958,0.43893697478991617,0.0,0.0,0.0,3.6579831932773086,8.046218487394958,0.43893697478991617,0.43893697478991617,1.7726890756302522,2.378571428571428,0.7212731092436977,1.2655462184873942,2.910084033613442,4.174369747899162,2.055462184873949,0.78781512605042,0.3848739495798316,0.0,2.2781512605042034,9.081512605042013,0.3949579831932773
1977,4054.0,25.915254237288135,62.08474576271186,0.0,21.442711864406785,3.75118644067797,8.155593220338986,0.44449491525423723,0.0,0.0,0.0,3.75118644067797,8.155593220338986,0.44449491525423723,0.44449491525423723,1.8572881355932198,2.498644067796612,0.7251966101694912,1.3410169491525425,2.8335593220338975,4.176949152542373,2.0789830508474574,0.8152542372881354,0.446440677966101,0.0,2.316271186440678,9.351525423728809,0.0
1978,4344.0,25.84561403508772,62.23508771929824,0.0,22.105614035087708,3.915789473684209,8.44245614035088,0.4446245614035085,0.0,0.0,0.0,3.915789473684209,8.44245614035088,0.4446245614035085,0.4446245614035085,1.9217543859649124,2.5652631578947367,0.7121438596491231,1.3635087719298244,2.8985964912280737,4.26421052631579,2.267719298245612,0.862105263157895,0.46070175438596445,1.8126315789473677,2.3487719298245615,9.755438596491237,0.20701754385964913
1979,4626.0,25.910394265232974,63.516129032258064,0.0,22.047670250896054,4.019354838709676,8.35698924731183,0.4649605734767025,0.0,0.0,0.0,4.019354838709676,8.35698924731183,0.4649605734767025,0.4649605734767025,1.9351254480286741,2.5810035842293915,0.7281863799283151,1.354480286738353,2.7433691756272394,4.091039426523295,2.329390681003585,0.8387096774193546,0.4763440860215051,1.7967741935483879,2.369175627240144,9.968100358422939,0.2078853046594982
1980,4908.5,26.136363636363637,61.61538461538461,1.4335664335664335,22.18181818181819,3.933566433566436,8.258391608391609,0.4607377622377621,0.06748251748251749,0.24790209790209802,0.14676223776223776,3.8632867132867146,8.002097902097903,0.4663916083916084,0.46473776223776203,1.9139860139860143,2.5293706293706295,0.7336398601398598,1.3625874125874138,2.712937062937063,4.077622377622375,2.3367132867132856,0.8482517482517483,0.48671328671328645,1.7314685314685307,2.303146853146853,9.84895104895105,0.4965034965034965
1981,5203.0,25.924092409240924,61.28712871287129,1.353135313531353,21.90693069306932,3.8033003300329993,7.956765676567654,0.45979867986798684,0.04092409240924089,0.1854785478547858,0.12103960396039608,3.758415841584155,7.767656765676571,0.46508910891089145,0.4626996699669968,1.928052805280528,2.5996699669967,0.7067095709570955,1.3122112211221133,2.5993399339933996,3.9095709570957102,2.3125412541254127,0.8161716171617172,0.47095709570957045,1.690429042904291,2.3333333333333344,9.582838283828382,4.108910891089109
1982,5511.5,26.047770700636942,60.99363057324841,29.93312101910828,21.257006369426765,3.7232484076433106,7.63630573248408,0.4740764331210196,0.05031847133757957,0.20191082802547794,0.14422929936305742,3.6691082802547776,7.4286624203821665,0.4796592356687899,0.47752866242038267,1.8200636942675152,2.468152866242038,0.7055891719745219,1.247770700636944,2.5095541401273898,3.752866242038217,2.1840764331210205,0.7442675159235668,0.45796178343949095,1.5378980891719738,2.3818471337579594,9.314968152866252,6.318471337579618
