season,age,gp,goals,assists,points,plusmin,plm,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,toi,hits,faceoff_wins,faceoff_losses,block,faceoff_pct,shot_pct,gpg,toi_avg
1952,25.041958041958043,43.14685314685315,7.6223776223776225,11.398601398601398,19.02097902097902,0.0,27.58041958041958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14803426573426576,0.0
1953,24.776223776223777,43.95804195804196,7.034965034965035,10.58041958041958,17.615384615384617,0.0,28.104895104895103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14186923076923075,0.0
1954,25.202898550724637,46.67391304347826,7.311594202898551,11.268115942028986,18.579710144927535,0.0,36.52173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1245086956521739,0.0
1955,24.928057553956833,46.115107913669064,7.618705035971223,11.870503597122303,19.489208633093526,0.0,35.76978417266187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12438633093525174,0.0
1956,25.076335877862597,49.274809160305345,8.122137404580153,12.916030534351146,21.0381679389313,0.0,41.41984732824427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12859007633587785,0.0
1957,24.722627737226276,46.98540145985402,8.248175182481752,13.284671532846716,21.532846715328468,0.0,36.1021897810219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14182919708029199,0.0
1958,25.13888888888889,45.020833333333336,8.159722222222221,13.493055555555555,21.65277777777778,0.0,34.90277777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15165208333333338,0.0
1959,25.865079365079364,52.58730158730159,9.658730158730158,15.761904761904763,25.42063492063492,0.0,38.88095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15665238095238088,0.0
1960,26.014492753623188,48.92028985507246,8.971014492753623,14.927536231884059,23.89855072463768,0.0,35.1231884057971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1486565217391304,0.0
1961,25.74125874125874,46.47552447552447,8.713286713286713,14.27972027972028,22.993006993006993,0.0,32.85314685314685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15538251748251758,0.0
1962,26.007407407407406,48.162962962962965,9.362962962962962,15.474074074074075,24.83703703703704,0.0,33.05925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16050074074074072,0.0
1963,26.485294117647058,48.279411764705884,9.183823529411764,14.867647058823529,24.051470588235293,0.0,34.35294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15996102941176468,0.0
1964,26.546666666666667,43.96,7.773333333333333,12.746666666666666,20.52,0.0,35.70666666666666,5.973333333333334,1.6,0.2,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1371173333333333,0.0
1965,26.337662337662337,43.298701298701296,7.8441558441558445,12.694805194805195,20.538961038961038,0.0,38.46103896103896,5.597402597402597,1.8896103896103895,0.35714285714285715,1.1753246753246753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13906948051948045,0.0
