,name,age,team,gp,gs,wins,losses,ties,goals_against,shots,saves,save_pct,goals_avg,shutouts,gps,minutes,quality_starts,quality_start_pct,really_bad_starts,ga_pct_minus,gs_above_avg,goals_scored,assists,points,plm,mpg,season
168,George Hainsworth*,37,MTL,48.0,,18,25,5,115,,,,2.32,8,7.2,2980.0,,,,0.0,0.0,0,0,0,2,62.083,1933
169,Dave Kerr,23,MTM,26.0,,14,8,4,58,,,,2.15,4,4.5,1620.0,,,,0.0,0.0,0,0,0,0,62.308,1933
170,Hugh Plaxton,28,MTM,1.0,,0,1,0,5,,,,5.26,0,-0.2,57.0,,,,0.0,0.0,1,3,4,4,57.0,1933
171,John Ross Roach,32,DET,48.0,,25,15,8,93,,,,1.88,10,9.9,2970.0,,,,0.0,0.0,0,0,0,0,61.875,1933
172,Tiny Thompson*,29,BOS,48.0,,25,15,8,88,,,,1.76,11,10.7,3000.0,,,,0.0,0.0,0,0,0,0,62.5,1933
173,Flat Walsh,35,MTM,22.0,,8,11,2,56,,,,2.58,2,2.4,1303.0,,,,0.0,0.0,0,0,0,0,59.227,1933
174,Roy Worters*,32,NYA,47.0,,15,22,10,116,,,,2.34,5,7.0,2970.0,,,,0.0,0.0,0,0,0,0,63.191,1933
175,Andy Aitkenhead,29,NYR,48.0,,21,19,8,113,,,,2.27,7,8.1,2990.0,,,,0.0,0.0,0,0,0,0,62.292,1934
176,Bill Beveridge,24,OTS,48.0,,13,29,6,143,,,,2.86,3,4.6,3000.0,,,,0.0,0.0,0,0,0,0,62.5,1934
177,Lorne Chabot,33,MTL,47.0,,21,20,6,101,,,,2.07,8,9.1,2928.0,,,,0.0,0.0,0,0,0,2,62.298,1934
178,Alec Connell*,31,NYA,1.0,,1,0,0,2,,,,3.00,0,0.1,40.0,,,,0.0,0.0,0,0,0,0,40.0,1934
179,Abbie Cox,29,NYA,3.0,,0,1,1,8,,,,3.61,0,0.0,133.0,,,,0.0,0.0,0,0,0,0,44.333,1934
180,Wilf Cude,23,MTL,30.0,,16,6,8,47,,,,1.47,5,8.2,1920.0,,,,0.0,0.0,0,0,0,0,64.0,1934
181,Charlie Gardiner*,29,CBH,48.0,,20,17,11,83,,,,1.63,10,12.1,3050.0,,,,0.0,0.0,0,0,0,0,63.542,1934
182,Benny Grant,25,NYA,5.0,,1,3,1,18,,,,3.38,1,0.2,320.0,,,,0.0,0.0,0,0,0,0,64.0,1934
183,George Hainsworth*,38,TOR,48.0,,26,13,9,119,,,,2.37,3,7.5,3010.0,,,,0.0,0.0,0,0,0,0,62.708,1934
184,Percy Jackson,26,NYA,1.0,,0,1,0,9,,,,9.00,0,-0.6,60.0,,,,0.0,0.0,0,0,0,0,60.0,1934
185,Dave Kerr,24,MTM,48.0,,19,18,11,122,,,,2.39,6,7.5,3060.0,,,,0.0,0.0,0,0,0,0,63.75,1934
