,season,Unnamed: 0,age,gp,gs,wins,losses,ties,goals_against,shots,saves,save_pct,goals_avg,shutouts,gps,minutes,quality_starts,quality_start_pct,really_bad_starts,ga_pct_minus,gs_above_avg,goals_scored,assists,points,plm,mpg,name,team
35,1924,0.9333333333333333,31,1.375,,1.875,0.875,,1.0588235294117647,,,,0.606399187404774,2.25,1.9500000000000002,1.388869921474906,,,,,,,,,,1.0153643402339245,Clint Benedict*,OTS
36,1924,0.96,26,1.5,,1.125,1.875,,1.6,,,,0.8379888268156426,0.75,1.3875000000000002,1.5189484465687948,,,,,,,,,,1.0179342155839877,Jake Forbes,HAM
37,1924,0.9866666666666667,29,0.125,,0.125,0.125,,0.21176470588235294,,,,1.3712544438801424,0.0,-0.037500000000000006,0.12290884260839877,,,,,,,,,,0.988413596178134,Sammy Hebert,OTS
38,1924,1.0133333333333334,28,0.0625,,0.0,0.125,,0.11764705882352941,,,,1.5236160487557138,0.0,-0.037500000000000006,0.06145442130419938,,,,,,,,,,0.988413596178134,Howard Lockhart,TRS
39,1924,1.04,23,1.4375,,1.25,1.625,,1.8823529411764706,,,,1.0604367699339767,0.75,0.6000000000000001,1.4134516899965859,,,,,,,,,,0.988413596178134,John Ross Roach,TRS
40,1924,1.0666666666666667,37,1.5,,1.625,1.375,,1.1294117647058823,,,,0.6003047232097513,2.25,2.1375,1.494366678047115,,,,,,,,,,1.0014606556476853,Georges Vezina*,MTL
41,1925,0.8817204301075269,32,1.9565217391304348,,1.2413793103448276,2.6206896551724137,4.0,1.7333333333333334,,,,0.8201160541586074,1.0434782608695652,2.488294314381271,2.010362694300518,,,,,,0.0,0.0,0.0,0.22641509433962262,1.4684769747457243,Clint Benedict*,MTM
42,1925,0.9032258064516129,21,0.06521739130434782,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.00218161985274066,,,,,,7.0,8.0,7.333333333333333,7.132075471698113,0.047807431665252365,King Clancy*,OTS
43,1925,0.9247311827956989,22,1.9565217391304348,,2.3448275862068964,1.6551724137931034,2.0,1.76,,,,0.8278529980657641,3.652173913043478,2.488294314381271,2.020179983637851,,,,,,0.0,0.0,0.0,0.22641509433962262,1.4756480894955122,Alec Connell*,OTS
44,1925,0.946236559139785,27,1.9565217391304348,,2.6206896551724137,1.3793103448275863,2.0,1.6,,,,0.758220502901354,3.1304347826086953,2.688963210702341,2.000545404963185,,,,,,0.0,0.0,0.0,0.22641509433962262,1.4613058599959365,Jake Forbes,HAM
45,1925,0.967741935483871,32,0.45652173913043476,,0.13793103448275862,0.8275862068965517,0.0,1.12,,,,2.382978723404255,0.0,-0.7224080267558528,0.44614125988546494,,,,,,0.0,0.0,0.0,0.0,1.3966702123845152,Hec Fowler,BOS
46,1925,0.989247311827957,29,0.13043478260869565,,0.0,0.27586206896551724,0.0,0.29333333333333333,,,,2.127659574468085,0.0,-0.1605351170568562,0.1308971911644396,,,,,,0.0,0.0,0.0,0.0,1.434222949957571,Howard Lockhart,BOS
47,1925,1.010752688172043,24,0.06521739130434782,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.00218161985274066,,,,,,2.5,1.0,2.0,1.811320754716981,0.047807431665252365,Dunc Munro,MTM
48,1925,1.032258064516129,21,0.06521739130434782,,0.0,0.0,0.0,0.02666666666666667,,,,2.1083172147001936,0.0,0.0,0.011998909190073629,,,,,,1.5,2.0,1.6666666666666667,1.1320754716981132,0.262940874158888,George Redding,BOS
49,1925,1.053763440860215,24,1.9565217391304348,,2.6206896551724137,1.5172413793103448,0.0,2.24,,,,1.0831721470019342,0.5217391304347826,1.4849498327759199,1.963457867466594,,,,,,0.0,0.0,0.0,0.0,1.434222949957571,John Ross Roach,TRS
50,1925,1.075268817204301,24,0.06521739130434782,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.00218161985274066,,,,,,1.0,1.0,1.0,1.2452830188679245,0.047807431665252365,Jesse Spring,HAM
51,1925,1.096774193548387,29,1.3695652173913042,,0.6896551724137931,2.206896551724138,0.0,1.7333333333333334,,,,1.1914893617021276,1.0434782608695652,0.7625418060200668,1.3809653667848378,,,,,,0.0,0.0,0.0,0.0,1.4410594126857021,Charles Stewart,BOS
52,1925,1.118279569892473,38,1.9565217391304348,,2.3448275862068964,1.5172413793103448,4.0,1.4933333333333334,,,,0.700193423597679,2.608695652173913,2.9698996655518397,2.0289064630488136,,,,,,0.0,0.0,0.0,0.0,1.4820303816228233,Georges Vezina*,MTL
53,1926,0.905982905982906,33,1.6941176470588235,,2.0869565217391304,1.1478260869565218,2.7272727272727275,1.5077452667814115,,,,0.7969560705638187,1.8947368421052633,2.16627078384798,1.7477064220183487,,,,,,0.0,0.0,0.0,0.0,1.1670863276296202,Clint Benedict*,MTM
54,1926,0.9230769230769231,34,0.047058823529411764,,0.10434782608695652,0.0,0.0,0.04130808950086059,,,,0.8301625735039778,0.0,0.05700712589073633,0.045871559633027525,,,,,,12.0,12.0,12.0,12.0,1.1027587347681451,Odie Cleghorn,PTP
55,1926,0.9401709401709402,23,1.6941176470588235,,2.5043478260869563,0.8347826086956521,2.181818181818182,0.8674698795180723,,,,0.4648910411622276,4.736842105263158,3.163895486935866,1.720948012232416,,,,,,0.0,0.0,0.0,0.0,1.1492216361263763,Alec Connell*,OTS
56,1926,0.9572649572649573,28,1.6941176470588235,,1.2521739130434781,2.0869565217391304,2.181818181818182,1.7762478485370052,,,,0.9546869595295745,0.6315789473684211,1.5961995249406171,1.7125382262996942,,,,,,0.0,0.0,0.0,0.0,1.1435975665790588,Jake Forbes,NYA
57,1926,0.9743589743589743,27,0.047058823529411764,,0.0,0.0,0.0,0.06196213425129088,,,,1.8678657903839502,0.0,-0.028503562945368165,0.03058103975535168,,,,,,0.0,0.0,0.0,0.0,0.73517248984543,Joe Ironstone,NYA
58,1926,0.9914529914529915,28,0.23529411764705882,,0.10434782608695652,0.41739130434782606,0.0,0.3304647160068847,,,,1.423728813559322,0.0,0.028503562945368165,0.21406727828746178,,,,,,0.0,0.0,0.0,0.0,1.029241485783602,Frenchy Lacroix,MTL
59,1926,1.0085470085470085,26,1.4588235294117646,,1.0434782608695652,2.0869565217391304,0.5454545454545455,1.900172117039587,,,,1.2161881701833277,0.0,0.6555819477434677,1.4426605504587156,,,,,,0.0,0.0,0.0,0.0,1.1187671157345294,Herb Rheaume,MTL
60,1926,1.0256410256410255,25,1.6941176470588235,,1.2521739130434781,2.1913043478260867,1.6363636363636365,2.3545611015490535,,,,1.2742995503286059,0.6315789473684211,0.5985748218527315,1.7048929663608563,,,,,,0.0,0.0,0.0,0.0,1.1384881177746329,John Ross Roach,TRS
61,1926,1.0427350427350428,20,0.09411764705882353,,0.10434782608695652,0.10434782608695652,0.0,0.10327022375215147,,,,1.4652369422345208,0.0,0.0,0.06498470948012232,,,,,,0.0,0.0,0.0,0.0,0.7811207704607694,Moe Roberts,BOS
62,1926,1.0598290598290598,30,1.6470588235294117,,1.6695652173913043,1.4608695652173913,2.181818181818182,1.6523235800344236,,,,0.9173296437218955,1.8947368421052633,1.6817102137767217,1.6605504587155964,,,,,,0.0,0.0,0.0,0.0,1.1405649800584463,Charles Stewart,BOS
63,1926,1.0769230769230769,39,0.047058823529411764,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.028503562945368165,0.01529051987767584,,,,,,0.0,0.0,0.0,0.0,0.367586244922715,Georges Vezina*,MTL
64,1926,1.0940170940170941,25,1.6470588235294117,,1.8782608695652172,1.6695652173913043,0.5454545454545455,1.40447504302926,,,,0.7886544448287789,2.210526315789474,2.052256532066508,1.639908256880734,,,,,,0.0,0.0,0.0,0.0,1.1263945303166758,Roy Worters*,PTP
65,1927,0.9154929577464789,34,1.267573696145125,,1.2871287128712872,1.2227722772277227,1.4444444444444444,0.9613196814562003,,,,0.717729393468118,1.988235294117647,1.859673024523161,1.2913969551224098,,,,,,,,,0.0,1.0258028018705487,Clint Benedict*,MTM
66,1927,0.9295774647887324,26,1.090702947845805,,1.4158415841584158,0.5792079207920792,1.8055555555555556,0.8725824800910126,,,,0.7632192846034214,1.5294117647058825,1.505449591280654,1.1033522583444835,,,,,,,,,0.0,1.018544914661772,Lorne Chabot,NYR
67,1927,0.9436619718309859,24,1.2970521541950115,,1.9306930693069306,0.6435643564356436,1.4444444444444444,1.0204778156996588,,,,0.7531104199066873,1.988235294117647,1.8065395095367849,1.3102014248002025,,,,,,,,,13.0,1.0170837028564654,Alec Connell*,OTS
68,1927,0.9577464788732394,29,1.2970521541950115,,1.0940594059405941,1.608910891089109,0.7222222222222222,1.3458475540386803,,,,1.0159409020217727,1.223529411764706,1.1512261580381473,1.2763533793801758,,,,,,,,,0.0,0.9908140049061144,Jake Forbes,NYA
69,1927,0.971830985915493,31,1.2970521541950115,,1.801980198019802,0.900990099009901,0.7222222222222222,0.9908987485779295,,,,0.7430015552099533,2.1411764705882352,1.7888283378746594,1.2876360611868514,,,,,,,,,0.0,0.9995652184653695,George Hainsworth*,MTL
70,1927,0.9859154929577465,38,1.2086167800453516,,0.7079207920792079,1.6732673267326732,1.4444444444444444,1.4789533560864618,,,,1.1726283048211505,0.9176470588235295,0.7615803814713897,1.214768741185405,,,,,,,,,0.0,1.01199354744677,Hap Holmes*,DTC
71,1927,1.0,41,1.2970521541950115,,1.2227722772277227,1.4158415841584158,1.0833333333333333,1.7155858930602959,,,,1.2585536547433902,0.7647058823529412,0.619891008174387,1.313962318735761,,,,,,,,,0.0,1.020006126467079,Hugh Lehman*,CBH
