,season,age,gp,goals,assists,points,plusmin,plm,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,toi,hits,faceoff_wins,faceoff_losses,block,faceoff_pct,shot_pct,gpg,ppg,toi_avg
18,1936,26.442307692307693,33.61538461538461,5.326923076923077,7.4743589743589745,12.801282051282051,0.0,21.442307692307693,4.294871794871795,0.9166666666666666,0.11538461538461539,1.0128205128205128,5.564102564102564,1.4807692307692308,0.08974358974358974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12285340845553921,0.3036618302171588,0.0
19,1937,26.74375,33.05625,5.9125,7.49375,13.40625,0.0,16.71875,5.08125,0.70625,0.125,1.025,6.10625,1.09375,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1669726761960376,0.35125645598998134,0.0
20,1938,26.797385620915033,34.64052287581699,6.352941176470588,8.908496732026144,15.261437908496733,0.0,18.065359477124183,5.42483660130719,0.7647058823529411,0.16339869281045752,1.0196078431372548,7.372549019607843,1.1895424836601307,0.1437908496732026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15197696778432412,0.38796061494270473,0.0
21,1939,26.26950354609929,33.4113475177305,5.9787234042553195,9.24113475177305,15.21985815602837,0.0,15.191489361702128,4.900709219858156,0.900709219858156,0.1773049645390071,1.0070921985815602,7.425531914893617,1.524822695035461,0.1702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1808149260799387,0.43599810402171063,0.0
22,1940,26.183823529411764,33.286764705882355,6.095588235294118,8.897058823529411,14.992647058823529,0.0,18.558823529411764,5.242647058823529,0.6470588235294118,0.20588235294117646,1.0808823529411764,7.382352941176471,1.1029411764705883,0.25735294117647056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1610965080326735,0.39494225673389605,0.0
23,1941,25.388489208633093,32.94964028776978,6.467625899280575,9.719424460431656,16.18705035971223,0.0,16.31654676258993,5.640287769784172,0.6618705035971223,0.16546762589928057,0.9856115107913669,8.29496402877698,1.2014388489208634,0.17266187050359713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17660081344859802,0.44567743478594835,0.0
24,1942,25.428571428571427,31.14965986394558,7.122448979591836,11.040816326530612,18.163265306122447,0.0,19.755102040816325,5.9727891156462585,1.0068027210884354,0.14285714285714285,1.0612244897959184,9.047619047619047,1.5918367346938775,0.1360544217687075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20649742666719978,0.5356593533369094,0.0
25,1943,25.740458015267176,29.564885496183205,8.267175572519085,12.587786259541986,20.85496183206107,0.0,16.984732824427482,6.9465648854961835,1.282442748091603,0.03816793893129771,0.9007633587786259,10.229007633587786,1.9770992366412214,0.030534351145038167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25338132445047684,0.6144596091230525,0.0
26,1944,25.693430656934307,26.773722627737225,8.941605839416058,12.781021897810218,21.722627737226276,0.0,14.510948905109489,8.007299270072993,0.8686131386861314,0.06569343065693431,0.9781021897810219,10.978102189781023,1.2627737226277371,0.06569343065693431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24685072503681607,0.6188141411198733,0.0
27,1945,26.641025641025642,33.21367521367522,9.427350427350428,11.333333333333334,20.76068376068376,0.0,16.581196581196583,8.256410256410257,1.0598290598290598,0.1111111111111111,1.1367521367521367,9.504273504273504,1.3333333333333333,0.06837606837606838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23026132644775987,0.5409869188987784,0.0
28,1946,26.6484375,32.4296875,7.8359375,8.9375,16.7734375,0.0,13.7265625,6.75,1.03125,0.0546875,0.9921875,7.703125,1.1953125,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20143060123979356,0.44542959921701514,0.0
29,1947,25.669117647058822,38.588235294117645,8.367647058823529,10.875,19.24264705882353,0.0,22.830882352941178,6.867647058823529,1.411764705882353,0.08823529411764706,1.1323529411764706,8.698529411764707,1.9264705882352942,0.07352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17067771780092142,0.40386050623648234,0.0
30,1948,25.083333333333332,39.70454545454545,7.984848484848484,10.93939393939394,18.924242424242426,0.0,27.431818181818183,6.431818181818182,1.371212121212121,0.18181818181818182,1.106060606060606,8.212121212121213,2.015151515151515,0.12878787878787878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16926317648961176,0.39338093671985186,0.0
31,1949,24.916030534351144,40.80152671755725,7.465648854961832,10.16793893129771,17.633587786259543,0.0,27.671755725190838,5.801526717557252,1.4732824427480915,0.19083969465648856,1.1603053435114503,7.633587786259542,2.16793893129771,0.16793893129770993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14872131055078888,0.37317803964613133,0.0
32,1950,24.6158940397351,43.258278145695364,7.602649006622516,11.019867549668874,18.62251655629139,0.0,26.211920529801326,6.072847682119205,1.509933774834437,0.019867549668874173,1.119205298013245,8.642384105960264,2.152317880794702,0.019867549668874173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13286139629619856,0.34826486372926885,0.0
33,1951,25.019736842105264,43.38157894736842,7.493421052631579,10.769736842105264,18.263157894736842,0.0,27.901315789473685,6.118421052631579,1.2236842105263157,0.1513157894736842,1.0855263157894737,8.394736842105264,1.9276315789473684,0.11842105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13770851855053845,0.3570025633324372,0.0
34,1952,25.04895104895105,43.15384615384615,7.6223776223776225,11.398601398601398,19.02097902097902,0.0,27.566433566433567,5.916083916083916,1.5454545454545454,0.16083916083916083,1.2027972027972027,8.58041958041958,2.6083916083916083,0.13286713286713286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14803752549474034,0.36776346002299687,0.0
35,1953,24.783216783216783,43.95104895104895,7.034965034965035,10.58041958041958,17.615384615384617,0.0,28.132867132867133,5.4475524475524475,1.3986013986013985,0.1888111888111888,1.1398601398601398,8.055944055944057,2.3426573426573425,0.14685314685314685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14189771826140543,0.3483516854987307,0.0
36,1954,25.21014492753623,46.666666666666664,7.311594202898551,11.268115942028986,18.579710144927535,0.0,36.53623188405797,5.3478260869565215,1.8043478260869565,0.15942028985507245,1.2826086956521738,7.978260869565218,3.0072463768115942,0.14492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12451462707605812,0.3230590208268507,0.0
37,1955,24.928057553956833,46.23021582733813,7.618705035971223,11.877697841726619,19.496402877697843,0.0,35.669064748201436,5.669064748201439,1.7482014388489209,0.2014388489208633,1.1510791366906474,8.366906474820144,2.8489208633093526,0.1510791366906475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12425838723125714,0.3291237486935073,0.0
38,1956,25.076335877862597,49.282442748091604,8.122137404580153,12.908396946564885,21.03053435114504,0.0,41.16030534351145,5.9465648854961835,1.9389312977099236,0.2366412213740458,1.3206106870229009,9.129770992366412,3.312977099236641,0.20610687022900764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12856454922452096,0.34231111523056795,0.0
39,1957,24.722627737226276,47.051094890510946,8.248175182481752,13.284671532846716,21.532846715328468,0.0,36.051094890510946,6.145985401459854,1.927007299270073,0.17518248175182483,1.2408759124087592,9.737226277372264,3.4014598540145986,0.13138686131386862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141863803457249,0.375355184448645,0.0
40,1958,25.13888888888889,45.076388888888886,8.159722222222221,13.48611111111111,21.645833333333332,0.0,34.65972222222222,6.152777777777778,1.7083333333333333,0.2986111111111111,1.2222222222222223,9.715277777777779,3.111111111111111,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15159985699782563,0.3956754142180023,0.0
41,1959,25.865079365079364,52.57142857142857,9.658730158730158,15.761904761904763,25.42063492063492,0.0,37.888888888888886,7.261904761904762,2.0873015873015874,0.30952380952380953,1.4047619047619047,11.444444444444445,3.6984126984126986,0.30952380952380953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15665617882590746,0.42160303491575946,0.0
42,1960,26.014492753623188,48.927536231884055,8.971014492753623,14.927536231884059,23.89855072463768,-0.2608695652173913,35.06521739130435,7.086956521739131,1.6594202898550725,0.2246376811594203,1.2608695652173914,11.695652173913043,2.9855072463768115,0.2028985507246377,96.21739130434783,0.0,0.0,0.0,0.0,0.0,0.0,0.07822873340484149,0.1486152079481664,0.40072989275626053,0.0
43,1961,25.74125874125874,46.52447552447553,8.713286713286713,14.27972027972028,22.993006993006993,-0.3076923076923077,32.6013986013986,6.72027972027972,1.7342657342657342,0.25874125874125875,1.1888111888111887,10.468531468531468,3.0839160839160837,0.21678321678321677,93.25174825174825,0.0,0.0,0.0,0.0,0.0,0.0,0.07405980084461462,0.15524854137118363,0.4144666251044337,0.0
44,1962,26.007407407407406,48.162962962962965,9.362962962962962,15.474074074074075,24.83703703703704,-0.2518518518518518,32.82222222222222,7.348148148148148,1.7777777777777777,0.23703703703703705,1.288888888888889,11.851851851851851,3.22962962962963,0.26666666666666666,98.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.07533852873317098,0.16047230276481875,0.4268860845015385,0.0
45,1963,26.485294117647058,48.294117647058826,9.183823529411764,14.867647058823529,24.051470588235293,-0.34558823529411764,34.10294117647059,7.213235294117647,1.7058823529411764,0.2647058823529412,1.1985294117647058,11.257352941176471,2.9705882352941178,0.25,98.42647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.08772497582970819,0.1598929275617147,0.43635125768133287,0.0
46,1964,26.546666666666667,43.96666666666667,7.773333333333333,12.746666666666666,20.52,-0.22666666666666666,35.5,5.953333333333333,1.62,0.2,1.1666666666666667,9.26,2.88,0.16666666666666666,91.89333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06553574673622414,0.13708670877220602,0.3706275245639976,0.0
47,1965,26.337662337662337,43.3051948051948,7.8441558441558445,12.694805194805195,20.538961038961038,-0.35064935064935066,38.40909090909091,5.564935064935065,1.9285714285714286,0.35064935064935066,1.1753246753246753,8.64935064935065,3.3636363636363638,0.33116883116883117,84.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.06775240202317923,0.13905507607673562,0.3669878729000294,0.0
48,1966,26.49079754601227,40.5398773006135,7.8343558282208585,12.920245398773005,20.754601226993866,-0.19631901840490798,30.208588957055216,5.828220858895706,1.834355828220859,0.17177914110429449,1.116564417177914,9.214723926380367,3.1533742331288344,0.1901840490797546,81.16564417177914,0.0,0.0,0.0,0.0,0.0,0.0,0.07175155991948555,0.14199558919242755,0.4010549374385686,0.0
49,1967,27.11464968152866,42.35031847133758,7.974522292993631,13.070063694267516,21.044585987261147,-0.17834394904458598,28.356687898089174,6.140127388535032,1.6178343949044587,0.21656050955414013,1.1401273885350318,9.859872611464969,2.968152866242038,0.24203821656050956,85.06369426751593,0.0,0.0,0.0,0.0,0.0,0.0,0.08478970054209853,0.15078288338208823,0.3841115093758925,0.0
50,1968,27.354166666666668,47.55902777777778,8.597222222222221,13.9375,22.53472222222222,-0.3229166666666667,30.770833333333332,6.649305555555555,1.7083333333333333,0.23958333333333334,1.2777777777777777,10.166666666666666,2.8715277777777777,0.2048611111111111,93.74305555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.07418529692536019,0.1457001226463493,0.38986025740804303,0.0
51,1969,27.21107266435986,49.0,9.40484429065744,15.463667820069205,24.868512110726645,-0.2837370242214533,35.52595155709343,7.2387543252595155,1.9100346020761245,0.2560553633217993,1.3114186851211074,11.363321799307958,3.3529411764705883,0.2560553633217993,101.43944636678201,0.0,0.0,0.0,0.0,0.0,0.0,0.07439851965509739,0.1549734593025117,0.4065908154566688,0.0
52,1970,27.01736111111111,49.65972222222222,9.197916666666666,14.784722222222221,23.98263888888889,-0.3229166666666667,39.145833333333336,6.621527777777778,2.295138888888889,0.28125,1.2673611111111112,10.163194444444445,4.045138888888889,0.2638888888888889,103.42361111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0666894552883744,0.14476723622012805,0.3930215782967692,0.0
53,1971,26.881159420289855,52.68115942028985,9.881159420289855,16.107246376811595,25.98840579710145,-0.3826086956521739,43.142028985507245,7.373913043478261,2.2,0.3072463768115942,1.3333333333333333,11.081159420289856,3.6782608695652175,0.34782608695652173,100.9072463768116,0.0,0.0,0.0,0.0,0.0,0.0,0.07690719254776242,0.15042683943287466,0.4155192946247456,0.0
54,1972,26.692307692307693,52.79585798816568,9.905325443786982,15.899408284023668,25.80473372781065,-0.45857988165680474,38.624260355029584,7.423076923076923,2.1745562130177514,0.3076923076923077,1.3431952662721893,11.062130177514794,3.5798816568047336,0.2958579881656805,100.13905325443787,0.0,0.0,0.0,0.0,0.0,0.0,0.08159323762291497,0.15299018077165502,0.4026493581320918,0.0
55,1973,25.955307262569832,56.59497206703911,11.418994413407821,18.681564245810055,30.100558659217878,-0.36312849162011174,41.54189944134078,8.960893854748603,2.1871508379888267,0.2709497206703911,1.5,13.82122905027933,3.8016759776536313,0.2905027932960894,108.42458100558659,0.0,0.0,0.0,0.0,0.0,0.0,0.08776916377459262,0.1693014495695675,0.452478797012281,0.0
56,1974,25.605670103092784,52.52061855670103,10.27061855670103,16.628865979381445,26.899484536082475,-0.4329896907216495,37.91752577319588,7.920103092783505,2.033505154639175,0.3170103092783505,1.3376288659793814,11.8659793814433,3.520618556701031,0.32216494845360827,97.52835051546391,0.0,0.0,0.0,0.0,0.0,0.0,0.08483671921245203,0.16027195866048288,0.4265584345474275,0.0
57,1975,25.430803571428573,52.645089285714285,10.984375,17.785714285714285,28.770089285714285,-0.47767857142857145,44.17857142857143,8.03125,2.595982142857143,0.35714285714285715,1.3348214285714286,11.875,4.3125,0.31026785714285715,98.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.09020735510290033,0.1695371100082184,0.45290556513950087,0.0
58,1976,25.466666666666665,54.07816091954023,11.183908045977011,18.26206896551724,29.445977011494254,-0.3425287356321839,46.767816091954025,8.135632183908045,2.717241379310345,0.3310344827586207,1.3770114942528735,12.429885057471264,4.6689655172413795,0.296551724137931,100.34252873563219,0.0,0.0,0.0,0.0,0.0,0.0,0.08641720053239504,0.16633021720028188,0.46011885678935766,0.0
