,season,team,name,age,gp,gs,wins,losses,ties,goals_against,shots,saves,save_pct,goals_avg,shutouts,gps,minutes,quality_starts,quality_start_pct,really_bad_starts,ga_pct_minus,gs_above_avg,goals_scored,assists,points,plm,mpg,mean_mtrc,year_mean,final_mean_mtrc
799,1973,PHI,Michel Belhumeur,23,0.387120828297299,,0.18240873067428875,-0.13710996048507967,-0.11762340404141954,0.6694768162658071,0.716294308859192,0.7217311180857496,1.7412713334991914,-0.029386976739478387,0.0,0.1287560250230745,0.6711566500354472,,,,-0.4307363007242096,0.17059301380991063,,1.6071428571428572,1.6071428571428572,-0.03214721206074715,0.5889259442486879,0.2777151351637295,0.6510673705057927,42.66
816,1973,PHI,Doug Favell,27,0.7405789758730937,,0.4053527348317527,-0.29380705818231356,-0.15683120538855935,1.2720059509050334,1.5846705536350034,1.62097958478505,1.7663394700833435,-0.025747722654094064,0.1539179104477612,0.33227361296277297,1.4524672614668468,,,,-0.37052585008534167,1.1380991064175467,,3.2142857142857144,3.2142857142857144,-0.0642944241214943,0.6662256633636349,0.5085155146990947,0.6510673705057927,78.1
837,1973,PHI,Bobby Taylor,28,0.387120828297299,,0.16214109393270107,-0.15669709769723392,-0.15683120538855935,0.8703198611455493,0.8091687735410971,0.8020674364364075,1.7123465605174772,-0.03730235437518928,0.0,0.07060814275458925,0.6868069396326864,,,,-0.5002098976152112,-0.22258326563769296,,1.6071428571428572,1.6071428571428572,-0.0,0.6026656868730796,0.25048032296206113,0.6510673705057927,38.47
844,1974,BOS,Ken Broderick,31,0.0910877485090379,,0.04558139534883723,-0.0440509693558474,-0.035714285714285726,0.1991869918699187,0.16445125657355775,0.16041881728358648,1.7130963600331337,-0.026891583602665813,0.0,0.036180904522613064,0.1966739360207645,,,,-0.0,0.0,,2.333333333333333,2.333333333333333,-0.0,0.7682600527544263,0.2229099350028535,0.6756096602650001,32.99
846,1974,BOS,Ross Brooks,36,0.3825685437379592,,0.36465116279069787,-0.06607645403377109,-0.0,0.5726626016260162,0.7199598319283317,0.7370594307624244,1.7973791328951751,-0.019832542906966035,0.19154228855721392,0.2080402010050251,0.7670283504809815,,,,-0.4481749958735584,0.009509361718653717,,0.0,0.0,-0.022958575738930356,0.7133806763193352,0.31423604521439485,0.6756096602650001,46.51
863,1974,BOS,Gilles Gilbert,24,0.9837476838976094,,0.7748837209302326,-0.26430581613508436,-0.2857142857142858,1.9669715447154472,2.0744166380381066,2.0868898392567465,1.7660181011325546,-0.024874714832465877,0.38308457711442784,0.4432160804020101,2.1024443760619724,,,,-0.5322078075998506,0.006937091431274858,,2.333333333333333,2.333333333333333,-0.1033135908251866,0.7604366045505436,0.5540338341691512,0.6756096602650001,82.01
927,1975,PHI,Bernie Parent*,29,1.1205220872973318,,0.906068253290368,-0.2786147644448063,-0.28754547864009833,1.438542310067943,1.9282665160926031,1.9886092648028817,1.798677391653469,-0.016776102983148643,0.5910447761194029,0.7606308512963474,2.385083449235049,,,,-0.41519824177844067,0.028894060571132273,,0.0,0.0,-0.1480182604226502,0.7417379326841347,0.5937676931273589,0.5937676931273589,100.0
937,1975,PHI,Wayne Stephenson,30,0.19773919187599975,,0.14414722211437672,-0.039802109206400905,-0.03194949762667759,0.304508956145769,0.31561829474872954,0.31698716322492265,1.7516531461200455,-0.022450373109801858,0.049253731343283584,0.09405650311729027,0.3771210013908206,,,,-0.0,0.0,,0.0,0.0,-0.0,0.6645990877181128,0.257286895212957,0.5937676931273589,43.33
938,1975,PHI,Bobby Taylor,30,0.04943479796899994,,0.0,-0.039802109206400905,-0.03194949762667759,0.1365040148239654,0.08063241106719367,0.07374803389314527,1.5949056610086323,-0.053617740906926045,0.0,-0.008178826358025242,0.07093184979137691,,,,-0.0,0.0,,0.0,0.0,-0.018502282552831276,0.5000087179777779,0.16921035268614554,0.5937676931273589,28.5
961,1976,PHI,Gary Inness,26,0.4303547034391829,,0.2115281295571418,-0.183983337358126,-0.07048232826965373,0.9298245614035088,0.9033680287259671,0.9000944914063896,1.750643848326956,-0.030798407316996287,0.0,0.11859223786200442,0.815687229625506,,,,-0.5796435939697103,-0.0027807874238217315,,0.0,0.0,-0.029347789766461997,0.6551240371932113,0.29255310567273846,0.5922346484050667,49.4
